"cancer","year","sex","race","stage","age","summary_interval","starting_count","net_relative","net_rel_cum_cis_lower","net_rel_cum_cis_upper"
"melanoma of the skin","2000-2018","all sexes","all races","unstaged",">65","96 mo",1628,71.9,66.5,76.6
"melanoma of the skin","2000-2018","all sexes","all races","unstaged",">65","108 mo",1628,66.6,60.6,71.8
"melanoma of the skin","2000-2018","all sexes","all races","unstaged",">65","120 mo",1628,64.4,57.6,70.5
"melanoma of the skin","2000-2018","male","white","invasive","all ages","0 mo",22086,100,NA,NA
"melanoma of the skin","2000-2018","male","white","invasive","all ages","12 mo",22086,95.6,95.3,96
"melanoma of the skin","2000-2018","male","white","invasive","all ages","24 mo",22086,92.4,92,92.9
"melanoma of the skin","2000-2018","male","white","invasive","all ages","36 mo",22086,89.7,89.2,90.3
"melanoma of the skin","2000-2018","male","white","invasive","all ages","48 mo",22086,87.9,87.3,88.6
"melanoma of the skin","2000-2018","male","white","invasive","all ages","60 mo",22086,86.3,85.5,87
"melanoma of the skin","2000-2018","male","white","invasive","all ages","72 mo",22086,85,84.2,85.8
"melanoma of the skin","2000-2018","male","white","invasive","all ages","84 mo",22086,83.6,82.6,84.4
"melanoma of the skin","2000-2018","male","white","invasive","all ages","96 mo",22086,82.2,81.1,83.2
"melanoma of the skin","2000-2018","male","white","invasive","all ages","108 mo",22086,81.1,79.9,82.2
"melanoma of the skin","2000-2018","male","white","invasive","all ages","120 mo",22086,79.6,78.3,80.9
"melanoma of the skin","2000-2018","male","white","invasive","<65","0 mo",12004,100,NA,NA
"melanoma of the skin","2000-2018","male","white","invasive","<65","12 mo",12004,96.4,96,96.7
"melanoma of the skin","2000-2018","male","white","invasive","<65","24 mo",12004,94,93.5,94.5
"melanoma of the skin","2000-2018","male","white","invasive","<65","36 mo",12004,92.1,91.6,92.7
"melanoma of the skin","2000-2018","male","white","invasive","<65","48 mo",12004,90.8,90.2,91.4
"melanoma of the skin","2000-2018","male","white","invasive","<65","60 mo",12004,89.7,89,90.4
"melanoma of the skin","2000-2018","male","white","invasive","<65","72 mo",12004,88.8,88.1,89.5
"melanoma of the skin","2000-2018","male","white","invasive","<65","84 mo",12004,88.3,87.5,89
"melanoma of the skin","2000-2018","male","white","invasive","<65","96 mo",12004,87.8,87,88.6
"melanoma of the skin","2000-2018","male","white","invasive","<65","108 mo",12004,87.4,86.5,88.2
"melanoma of the skin","2000-2018","male","white","invasive","<65","120 mo",12004,87,86.1,87.9
"melanoma of the skin","2000-2018","male","white","invasive",">65","0 mo",10082,100,NA,NA
"melanoma of the skin","2000-2018","male","white","invasive",">65","12 mo",10082,94.7,94.1,95.3
"melanoma of the skin","2000-2018","male","white","invasive",">65","24 mo",10082,90.6,89.7,91.4
"melanoma of the skin","2000-2018","male","white","invasive",">65","36 mo",10082,86.9,85.8,87.9
"melanoma of the skin","2000-2018","male","white","invasive",">65","48 mo",10082,84.5,83.2,85.7
"melanoma of the skin","2000-2018","male","white","invasive",">65","60 mo",10082,82.1,80.6,83.4
"melanoma of the skin","2000-2018","male","white","invasive",">65","72 mo",10082,80.4,78.7,81.9
"melanoma of the skin","2000-2018","male","white","invasive",">65","84 mo",10082,77.7,75.8,79.4
"melanoma of the skin","2000-2018","male","white","invasive",">65","96 mo",10082,75,72.9,77
"melanoma of the skin","2000-2018","male","white","invasive",">65","108 mo",10082,73,70.6,75.2
"melanoma of the skin","2000-2018","male","white","invasive",">65","120 mo",10082,70,67.3,72.5
"melanoma of the skin","2000-2018","male","white","early","all ages","0 mo",26543,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early","all ages","12 mo",26543,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early","all ages","24 mo",26543,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early","all ages","36 mo",26543,99.3,98.7,99.6
"melanoma of the skin","2000-2018","male","white","early","all ages","48 mo",26543,98.6,98,99
"melanoma of the skin","2000-2018","male","white","early","all ages","60 mo",26543,97.4,96.8,98
"melanoma of the skin","2000-2018","male","white","early","all ages","72 mo",26543,96.7,95.9,97.3
"melanoma of the skin","2000-2018","male","white","early","all ages","84 mo",26543,95.7,94.8,96.5
"melanoma of the skin","2000-2018","male","white","early","all ages","96 mo",26543,94.5,93.4,95.4
"melanoma of the skin","2000-2018","male","white","early","all ages","108 mo",26543,93.6,92.4,94.6
"melanoma of the skin","2000-2018","male","white","early","all ages","120 mo",26543,92.3,91,93.5
"melanoma of the skin","2000-2018","male","white","early","<65","0 mo",13529,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early","<65","12 mo",13529,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early","<65","24 mo",13529,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early","<65","36 mo",13529,99.7,99.2,99.9
"melanoma of the skin","2000-2018","male","white","early","<65","48 mo",13529,99.4,98.9,99.6
"melanoma of the skin","2000-2018","male","white","early","<65","60 mo",13529,98.9,98.4,99.2
"melanoma of the skin","2000-2018","male","white","early","<65","72 mo",13529,98.4,97.9,98.8
"melanoma of the skin","2000-2018","male","white","early","<65","84 mo",13529,98.3,97.7,98.8
"melanoma of the skin","2000-2018","male","white","early","<65","96 mo",13529,98.1,97.4,98.6
"melanoma of the skin","2000-2018","male","white","early","<65","108 mo",13529,98.1,97.4,98.6
"melanoma of the skin","2000-2018","male","white","early","<65","120 mo",13529,98,97.2,98.5
"melanoma of the skin","2000-2018","male","white","early",">65","0 mo",13014,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early",">65","12 mo",13014,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early",">65","24 mo",13014,100,NA,NA
"melanoma of the skin","2000-2018","male","white","early",">65","36 mo",13014,98.8,97.7,99.4
"melanoma of the skin","2000-2018","male","white","early",">65","48 mo",13014,97.7,96.6,98.5
"melanoma of the skin","2000-2018","male","white","early",">65","60 mo",13014,95.9,94.5,96.9
"melanoma of the skin","2000-2018","male","white","early",">65","72 mo",13014,94.8,93.3,96
"melanoma of the skin","2000-2018","male","white","early",">65","84 mo",13014,92.8,91.1,94.3
"melanoma of the skin","2000-2018","male","white","early",">65","96 mo",13014,90.5,88.4,92.2
"melanoma of the skin","2000-2018","male","white","early",">65","108 mo",13014,88.6,86.2,90.5
"melanoma of the skin","2000-2018","male","white","early",">65","120 mo",13014,85.7,83,88
"melanoma of the skin","2000-2018","male","white","late","all ages","0 mo",3956,100,NA,NA
"melanoma of the skin","2000-2018","male","white","late","all ages","12 mo",3956,77.4,76,78.8
"melanoma of the skin","2000-2018","male","white","late","all ages","24 mo",3956,65.3,63.7,66.9
"melanoma of the skin","2000-2018","male","white","late","all ages","36 mo",3956,57.8,56,59.5
"melanoma of the skin","2000-2018","male","white","late","all ages","48 mo",3956,53.1,51.3,54.9
"melanoma of the skin","2000-2018","male","white","late","all ages","60 mo",3956,50.1,48.2,52
"melanoma of the skin","2000-2018","male","white","late","all ages","72 mo",3956,47.7,45.6,49.7
"melanoma of the skin","2000-2018","male","white","late","all ages","84 mo",3956,45.9,43.7,48
"melanoma of the skin","2000-2018","male","white","late","all ages","96 mo",3956,44.3,42,46.5
"melanoma of the skin","2000-2018","male","white","late","all ages","108 mo",3956,43.4,41.1,45.7
"melanoma of the skin","2000-2018","male","white","late","all ages","120 mo",3956,41.4,38.9,43.9
"melanoma of the skin","2000-2018","male","white","late","<65","0 mo",2147,100,NA,NA
"melanoma of the skin","2000-2018","male","white","late","<65","12 mo",2147,80.7,79,82.4
"melanoma of the skin","2000-2018","male","white","late","<65","24 mo",2147,70.3,68.3,72.3
"melanoma of the skin","2000-2018","male","white","late","<65","36 mo",2147,63.5,61.3,65.6
"melanoma of the skin","2000-2018","male","white","late","<65","48 mo",2147,58.7,56.4,60.9
"melanoma of the skin","2000-2018","male","white","late","<65","60 mo",2147,56.5,54.2,58.8
"melanoma of the skin","2000-2018","male","white","late","<65","72 mo",2147,54.8,52.5,57.2
"melanoma of the skin","2000-2018","male","white","late","<65","84 mo",2147,53.5,51,55.8
"melanoma of the skin","2000-2018","male","white","late","<65","96 mo",2147,52.3,49.8,54.7
"melanoma of the skin","2000-2018","male","white","late","<65","108 mo",2147,51,48.5,53.5
"melanoma of the skin","2000-2018","male","white","late","<65","120 mo",2147,50.1,47.5,52.7
"melanoma of the skin","2000-2018","male","white","late",">65","0 mo",1809,100,NA,NA
"melanoma of the skin","2000-2018","male","white","late",">65","12 mo",1809,73.5,71.2,75.7
"melanoma of the skin","2000-2018","male","white","late",">65","24 mo",1809,59.3,56.7,61.9
"melanoma of the skin","2000-2018","male","white","late",">65","36 mo",1809,50.9,48.1,53.7
"melanoma of the skin","2000-2018","male","white","late",">65","48 mo",1809,46.3,43.3,49.3
"melanoma of the skin","2000-2018","male","white","late",">65","60 mo",1809,42.2,39,45.4
"melanoma of the skin","2000-2018","male","white","late",">65","72 mo",1809,38.8,35.3,42.2
"melanoma of the skin","2000-2018","male","white","late",">65","84 mo",1809,36.3,32.6,40
"melanoma of the skin","2000-2018","male","white","late",">65","96 mo",1809,34,30.1,37.9
"melanoma of the skin","2000-2018","male","white","late",">65","108 mo",1809,33.3,29.4,37.3
"melanoma of the skin","2000-2018","male","white","late",">65","120 mo",1809,30,25.5,34.7
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","0 mo",1867,100,NA,NA
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","12 mo",1867,93.7,92.2,94.9
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","24 mo",1867,91.2,89.3,92.8
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","36 mo",1867,88.2,85.9,90.2
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","48 mo",1867,86.1,83.5,88.3
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","60 mo",1867,84.2,81.2,86.7
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","72 mo",1867,83.3,80.1,86.1
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","84 mo",1867,79.5,75.8,82.8
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","96 mo",1867,78.6,74.7,82
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","108 mo",1867,75.1,70.5,79.1
"melanoma of the skin","2000-2018","male","white","unstaged","all ages","120 mo",1867,72.7,67.5,77.2
"melanoma of the skin","2000-2018","male","white","unstaged","<65","0 mo",857,100,NA,NA
"melanoma of the skin","2000-2018","male","white","unstaged","<65","12 mo",857,95.9,94.2,97.1
"melanoma of the skin","2000-2018","male","white","unstaged","<65","24 mo",857,94.3,92.3,95.8
"melanoma of the skin","2000-2018","male","white","unstaged","<65","36 mo",857,92.8,90.5,94.6
"melanoma of the skin","2000-2018","male","white","unstaged","<65","48 mo",857,91.2,88.7,93.1
"melanoma of the skin","2000-2018","male","white","unstaged","<65","60 mo",857,89.8,87.1,92
"melanoma of the skin","2000-2018","male","white","unstaged","<65","72 mo",857,89,86.1,91.4
"melanoma of the skin","2000-2018","male","white","unstaged","<65","84 mo",857,87.4,84.2,89.9
"melanoma of the skin","2000-2018","male","white","unstaged","<65","96 mo",857,87.4,84.2,89.9
"melanoma of the skin","2000-2018","male","white","unstaged","<65","108 mo",857,86.8,83.3,89.7
"melanoma of the skin","2000-2018","male","white","unstaged","<65","120 mo",857,86.2,82.4,89.1
"melanoma of the skin","2000-2018","male","white","unstaged",">65","0 mo",1010,100,NA,NA
"melanoma of the skin","2000-2018","male","white","unstaged",">65","12 mo",1010,91.9,89.3,93.8
"melanoma of the skin","2000-2018","male","white","unstaged",">65","24 mo",1010,88.6,85.3,91.2
"melanoma of the skin","2000-2018","male","white","unstaged",">65","36 mo",1010,84.3,80.5,87.4
"melanoma of the skin","2000-2018","male","white","unstaged",">65","48 mo",1010,81.7,77.4,85.4
"melanoma of the skin","2000-2018","male","white","unstaged",">65","60 mo",1010,79.4,74.4,83.5
"melanoma of the skin","2000-2018","male","white","unstaged",">65","72 mo",1010,78,72.8,82.2
"melanoma of the skin","2000-2018","male","white","unstaged",">65","84 mo",1010,72.5,66,78
"melanoma of the skin","2000-2018","male","white","unstaged",">65","96 mo",1010,70.6,63.9,76.3
"melanoma of the skin","2000-2018","male","white","unstaged",">65","108 mo",1010,64.1,56.2,70.9
"melanoma of the skin","2000-2018","male","white","unstaged",">65","120 mo",1010,59.9,50.9,67.8
"melanoma of the skin","2000-2018","male","black","invasive","all ages","0 mo",69,100,NA,NA
"melanoma of the skin","2000-2018","male","black","invasive","all ages","12 mo",69,81,68.5,89
"melanoma of the skin","2000-2018","male","black","invasive","all ages","24 mo",69,74.6,60.6,84.2
"melanoma of the skin","2000-2018","male","black","invasive","all ages","36 mo",69,70.1,54.4,81.3
"melanoma of the skin","2000-2018","male","black","invasive","all ages","48 mo",69,64.3,47.3,77
"melanoma of the skin","2000-2018","male","black","invasive","all ages","60 mo",69,61.3,43.3,75
"melanoma of the skin","2000-2018","male","black","invasive","all ages","72 mo",69,61.3,43.3,75
"melanoma of the skin","2000-2018","male","black","invasive","all ages","84 mo",69,61.3,43.3,75
"melanoma of the skin","2000-2018","male","black","invasive","all ages","96 mo",69,54.6,31.3,73
"melanoma of the skin","2000-2018","male","black","invasive","all ages","108 mo",69,54,30.2,72.9
"melanoma of the skin","2000-2018","male","black","invasive","all ages","120 mo",69,54,30.2,72.9
"melanoma of the skin","2000-2018","male","black","invasive","<65","0 mo",42,100,NA,NA
"melanoma of the skin","2000-2018","male","black","invasive","<65","12 mo",42,74.5,58.1,85.3
"melanoma of the skin","2000-2018","male","black","invasive","<65","24 mo",42,67.7,50.8,80
"melanoma of the skin","2000-2018","male","black","invasive","<65","36 mo",42,67.7,50.8,80
"melanoma of the skin","2000-2018","male","black","invasive","<65","48 mo",42,63.1,45.5,76.4
"melanoma of the skin","2000-2018","male","black","invasive","<65","60 mo",42,60.2,41.5,74.7
"melanoma of the skin","2000-2018","male","black","invasive","<65","72 mo",42,60.2,41.5,74.7
"melanoma of the skin","2000-2018","male","black","invasive","<65","84 mo",42,60.2,41.5,74.7
"melanoma of the skin","2000-2018","male","black","invasive","<65","96 mo",42,57.5,37.7,73.1
"melanoma of the skin","2000-2018","male","black","invasive","<65","108 mo",42,53.6,33,70.4
"melanoma of the skin","2000-2018","male","black","invasive","<65","120 mo",42,53.6,33,70.4
"melanoma of the skin","2000-2018","male","black","invasive",">65","0 mo",27,100,NA,NA
"melanoma of the skin","2000-2018","male","black","invasive",">65","12 mo",27,88.4,64.5,96.6
"melanoma of the skin","2000-2018","male","black","invasive",">65","24 mo",27,82.9,53.8,94.5
"melanoma of the skin","2000-2018","male","black","invasive",">65","36 mo",27,73,40.2,89.7
"melanoma of the skin","2000-2018","male","black","invasive",">65","48 mo",27,66,32,86
"melanoma of the skin","2000-2018","male","black","invasive",">65","60 mo",27,63.2,27.3,85.1
"melanoma of the skin","2000-2018","male","black","invasive",">65","72 mo",27,63.2,27.3,85.1
"melanoma of the skin","2000-2018","male","black","invasive",">65","84 mo",27,63.2,27.3,85.1
"melanoma of the skin","2000-2018","male","black","invasive",">65","96 mo",27,50.6,9.6,82.1
"melanoma of the skin","2000-2018","male","black","invasive",">65","108 mo",27,50.6,9.6,82.1
"melanoma of the skin","2000-2018","male","black","invasive",">65","120 mo",27,50.6,9.6,82.1
"melanoma of the skin","2000-2018","male","black","early","all ages","0 mo",56,100,NA,NA
"melanoma of the skin","2000-2018","male","black","early","all ages","12 mo",56,100,NA,NA
"melanoma of the skin","2000-2018","male","black","early","all ages","24 mo",56,100,NA,NA
"melanoma of the skin","2000-2018","male","black","early","all ages","36 mo",56,100,NA,NA
"melanoma of the skin","2000-2018","male","black","early","all ages","48 mo",56,96.9,14.6,99.9
"melanoma of the skin","2000-2018","male","black","early","all ages","60 mo",56,94.7,31.1,99.7
"melanoma of the skin","2000-2018","male","black","early","all ages","72 mo",56,92.1,47.3,99.1
"melanoma of the skin","2000-2018","male","black","early","all ages","84 mo",56,92.1,47.3,99.1
"melanoma of the skin","2000-2018","male","black","early","all ages","96 mo",56,89.4,33.2,98.9
"melanoma of the skin","2000-2018","male","black","early","all ages","108 mo",56,89.4,33.2,98.9
"melanoma of the skin","2000-2018","male","black","early","all ages","120 mo",56,84.8,28.3,97.9
"melanoma of the skin","2000-2018","male","black","early","<65","0 mo",32,100,NA,NA
"melanoma of the skin","2000-2018","male","black","early","<65","12 mo",32,97.7,71.1,99.8
"melanoma of the skin","2000-2018","male","black","early","<65","24 mo",32,95.1,72.3,99.2
"melanoma of the skin","2000-2018","male","black","early","<65","36 mo",32,95.1,72.3,99.2
"melanoma of the skin","2000-2018","male","black","early","<65","48 mo",32,89.6,67.7,96.9
"melanoma of the skin","2000-2018","male","black","early","<65","60 mo",32,86.8,62.8,95.8
"melanoma of the skin","2000-2018","male","black","early","<65","72 mo",32,86.8,62.8,95.8
"melanoma of the skin","2000-2018","male","black","early","<65","84 mo",32,86.8,62.8,95.8
"melanoma of the skin","2000-2018","male","black","early","<65","96 mo",32,84.4,58.3,94.8
"melanoma of the skin","2000-2018","male","black","early","<65","108 mo",32,81,54.8,92.9
"melanoma of the skin","2000-2018","male","black","early","<65","120 mo",32,77.4,49.8,91
"melanoma of the skin","2000-2018","male","black","early",">65","0 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","12 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","24 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","36 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","48 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","60 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","72 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","84 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","96 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","108 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","early",">65","120 mo",24,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","all ages","0 mo",29,100,NA,NA
"melanoma of the skin","2000-2018","male","black","late","all ages","12 mo",29,60.4,39.8,75.9
"melanoma of the skin","2000-2018","male","black","late","all ages","24 mo",29,46.6,27.1,64
"melanoma of the skin","2000-2018","male","black","late","all ages","36 mo",29,37.6,18,57.3
"melanoma of the skin","2000-2018","male","black","late","all ages","48 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","all ages","60 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","all ages","72 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","all ages","84 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","all ages","96 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","all ages","108 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","all ages","120 mo",29,31.1,12,52.4
"melanoma of the skin","2000-2018","male","black","late","<65","0 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","12 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","24 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","36 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","48 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","60 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","72 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","84 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","96 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","108 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late","<65","120 mo",20,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","0 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","12 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","24 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","36 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","48 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","60 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","72 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","84 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","96 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","108 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","late",">65","120 mo",9,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","0 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","12 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","24 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","36 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","48 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","60 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","72 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","84 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","96 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","108 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","all ages","120 mo",5,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","0 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","12 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","24 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","36 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","48 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","60 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","72 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","84 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","96 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","108 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged","<65","120 mo",3,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","0 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","12 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","24 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","36 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","48 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","60 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","72 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","84 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","96 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","108 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","black","unstaged",">65","120 mo",2,NA,NA,NA
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","0 mo",22194,100,NA,NA
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","12 mo",22194,95.6,95.2,95.9
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","24 mo",22194,92.4,91.9,92.8
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","36 mo",22194,89.7,89.1,90.2
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","48 mo",22194,87.9,87.2,88.5
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","60 mo",22194,86.2,85.4,86.9
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","72 mo",22194,84.9,84.1,85.7
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","84 mo",22194,83.5,82.5,84.4
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","96 mo",22194,82.1,81,83.1
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","108 mo",22194,81,79.8,82.1
"melanoma of the skin","2000-2018","male","all races","invasive","all ages","120 mo",22194,79.6,78.3,80.8
"melanoma of the skin","2000-2018","male","all races","invasive","<65","0 mo",12073,100,NA,NA
"melanoma of the skin","2000-2018","male","all races","invasive","<65","12 mo",12073,96.3,95.9,96.6
"melanoma of the skin","2000-2018","male","all races","invasive","<65","24 mo",12073,93.9,93.4,94.4
"melanoma of the skin","2000-2018","male","all races","invasive","<65","36 mo",12073,92.1,91.5,92.6
"melanoma of the skin","2000-2018","male","all races","invasive","<65","48 mo",12073,90.7,90,91.3
"melanoma of the skin","2000-2018","male","all races","invasive","<65","60 mo",12073,89.6,88.9,90.3
"melanoma of the skin","2000-2018","male","all races","invasive","<65","72 mo",12073,88.7,88,89.4
"melanoma of the skin","2000-2018","male","all races","invasive","<65","84 mo",12073,88.2,87.4,88.9
"melanoma of the skin","2000-2018","male","all races","invasive","<65","96 mo",12073,87.7,86.8,88.5
"melanoma of the skin","2000-2018","male","all races","invasive","<65","108 mo",12073,87.3,86.4,88.1
"melanoma of the skin","2000-2018","male","all races","invasive","<65","120 mo",12073,86.9,86,87.8
"melanoma of the skin","2000-2018","male","all races","invasive",">65","0 mo",10121,100,NA,NA
"melanoma of the skin","2000-2018","male","all races","invasive",">65","12 mo",10121,94.8,94.1,95.3
"melanoma of the skin","2000-2018","male","all races","invasive",">65","24 mo",10121,90.6,89.7,91.4
"melanoma of the skin","2000-2018","male","all races","invasive",">65","36 mo",10121,86.8,85.7,87.8
"melanoma of the skin","2000-2018","male","all races","invasive",">65","48 mo",10121,84.5,83.2,85.6
"melanoma of the skin","2000-2018","male","all races","invasive",">65","60 mo",10121,82,80.6,83.4
"melanoma of the skin","2000-2018","male","all races","invasive",">65","72 mo",10121,80.3,78.7,81.9
"melanoma of the skin","2000-2018","male","all races","invasive",">65","84 mo",10121,77.7,75.8,79.4
"melanoma of the skin","2000-2018","male","all races","invasive",">65","96 mo",10121,75,72.8,76.9
"melanoma of the skin","2000-2018","male","all races","invasive",">65","108 mo",10121,72.9,70.6,75.2
"melanoma of the skin","2000-2018","male","all races","invasive",">65","120 mo",10121,70,67.3,72.5
"melanoma of the skin","2000-2018","male","all races","early","all ages","0 mo",26639,100,NA,NA
"melanoma of the skin","2000-2018","male","all races","early","all ages","12 mo",26639,100,NA,NA
"melanoma of the skin","2000-2018","male","all races","early","all ages","24 mo",26639,100,NA,NA
"melanoma of the skin","2000-2018","male","all races","early","all ages","36 mo",26639,99.3,98.7,99.6
"melanoma of the skin","2000-2018","male","all races","early","all ages","48 mo",26639,98.6,98,99
"melanoma of the skin","2000-2018","male","all races","early","all ages","60 mo",26639,97.4,96.8,98
"melanoma of the skin","2000-2018","male","all races","early","all ages","72 mo",26639,96.7,95.9,97.4
"melanoma of the skin","2000-2018","male","all races","early","all ages","84 mo",26639,95.8,94.9,96.5
"melanoma of the skin","2000-2018","male","all races","early","all ages","96 mo",26639,94.5,93.5,95.4
"melanoma of the skin","2000-2018","male","all races","early","all ages","108 mo",26639,93.6,92.4,94.6
"melanoma of the skin","2000-2018","male","all races","early","all ages","120 mo",26639,92.3,91,93.5
